Dataset,SAX.SEQL,SFglmnet,SAX.SEQLGBM,SAX.SFSEQLGBM,SAX.SFSEQL,type,mtSS.SEQL.LR,mtSFA.SEQL.LR,mtSAX.SEQL.LR,mtSS.SEQL,mtSAX.SEQL,mtSFA.SEQL,SAX.REG.SEQL,SFA.REG.SEQL,Encoder,MCNN,t.LeNet,MCDCNN,Time.CNN,TWIESN,SAXVSM,FS,HIVE.COTE,MLP,FCN,ResNet,WEASEL,DTW_CV,DTW,BOSS,LearningShapelet,TSBF,ST,EE_PROP,Flat.COTE
Coffee,0.07142857142857138,0.07142857,0.07142857142857138,0.03571428571428569,0.07142857142857138,SPECTRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.486,0.46399999999999997,0.018000000000000002,0.004,0.028999999999999998,0.071,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,0.0,0.0
DistalPhalanxOutlineAgeGroup,0.3381294964028777,0.2877698,0.3093525179856115,0.3237410071942446,0.3165467625899281,IMAGE,0.158,0.155,0.158,0.158,0.15,0.155,0.182,0.192,0.263,0.532,0.5539999999999999,0.256,0.248,0.29,0.158,0.345,0.237,0.17300000000000001,0.165,0.20199999999999999,0.23,0.374,0.23,0.23,0.221,0.217,0.225,0.272,0.239
ChlorineConcentration,0.3627604166666667,0.4307292,0.4559895833333333,0.359375,0.3575520833333333,SIMULATED,0.287,0.314,0.28300000000000003,0.324,0.311,0.34,0.34600000000000003,0.35700000000000004,0.42700000000000005,0.467,0.467,0.35700000000000004,0.4,0.447,0.34600000000000003,0.45399999999999996,0.28800000000000003,0.128,0.157,0.172,0.247,0.35,0.35200000000000004,0.33899999999999997,0.349,0.308,0.3,0.344,0.273
ElectricDevices,0.3135780054467644,0.4367786,0.4283491116586694,0.27960057061340937,0.3026844767215666,DEVICE,0.273,0.316,0.298,0.308,0.319,0.33399999999999996,0.327,0.33399999999999996,0.326,0.664,0.758,0.35600000000000004,0.319,0.39299999999999996,0.295,0.42100000000000004,0.23,0.42,0.27699999999999997,0.272,0.267,0.375,0.39899999999999997,0.201,0.413,0.298,0.253,0.337,0.287
CricketZ,0.458974358974359,0.6025641,0.6384615384615384,0.38717948717948714,0.3769230769230769,MOTION,0.177,0.19699999999999998,0.221,0.203,0.24600000000000002,0.218,0.444,0.431,0.308,0.8170000000000001,0.938,0.502,0.512,0.37799999999999995,0.292,0.536,0.16899999999999998,0.408,0.187,0.187,0.213,0.254,0.24600000000000002,0.254,0.2,0.285,0.213,0.218,0.185
HandOutlines,0.12162162162162161,0.3216216,0.1405405405405405,0.1108108108108108,0.11891891891891887,IMAGE,0.086,0.091,0.09300000000000001,0.10800000000000001,0.114,0.11599999999999999,0.155,0.131,0.10099999999999999,0.359,0.359,0.091,0.11199999999999999,0.34,0.092,0.18899999999999997,0.068,0.193,0.22399999999999998,0.139,0.051,0.138,0.11900000000000001,0.08900000000000001,0.519,0.146,0.068,0.111,0.081
LargeKitchenAppliances,0.22399999999999998,0.272,0.22933333333333328,0.20799999999999996,0.19999999999999996,DEVICE,0.125,0.171,0.133,0.21899999999999997,0.20800000000000002,0.245,0.24,0.35200000000000004,0.381,0.59,0.667,0.5660000000000001,0.33399999999999996,0.221,0.12300000000000001,0.44,0.136,0.52,0.10400000000000001,0.107,0.317,0.205,0.205,0.235,0.299,0.47200000000000003,0.141,0.18899999999999997,0.155
FordB,0.26543209876543217,0.4604938,0.3790123456790123,0.27037037037037037,0.2629629629629629,SENSOR,0.07,0.08800000000000001,0.095,0.079,0.10300000000000001,0.125,0.218,0.177,0.11,0.502,0.488,0.467,0.19399999999999998,0.49700000000000005,0.249,0.272,0.177,0.371,0.11699999999999999,0.1,0.168,0.39299999999999996,0.38,0.18,0.083,0.401,0.193,0.33799999999999997,0.196
Beef,0.5,0.6,0.5666666666666667,0.5666666666666667,0.4,SPECTRO,0.3,0.267,0.36700000000000005,0.33299999999999996,0.33299999999999996,0.3,0.16699999999999998,0.33299999999999996,0.35700000000000004,0.8,0.8,0.43700000000000006,0.237,0.46299999999999997,0.5670000000000001,0.433,0.067,0.16699999999999998,0.25,0.233,0.233,0.33299999999999996,0.36700000000000005,0.2,0.24,0.433,0.1,0.36700000000000005,0.133
StarLightCurves,0.04650315687226814,0.129796,0.12238950947061678,0.03691112190383683,0.03909664885866926,SENSOR,0.019,0.019,0.02,0.021,0.025,0.021,0.048,0.040999999999999995,0.043,0.34600000000000003,0.423,0.061,0.07400000000000001,0.15,0.125,0.08199999999999999,0.018000000000000002,0.043,0.033,0.025,0.023,0.095,0.09300000000000001,0.022000000000000002,0.034,0.023,0.021,0.07400000000000001,0.02
